Location,PO #,UPC,Description,Vendor Item #,Units/Case,Cases,Case Cost,Ext Cost,Notes
Woodbury,1030704,086036815474,Christian Brothers Brandy 1.75L,570738,6,1.0,88.68,88.68,
Cottage Grove,1030584,086036815559,Christian Brothers Brandy Liter,579847,12,1.0,105.6,105.6,
Cottage Grove,1030397,086891080031,Seven Daughters Moscato 750ml,642551,12,1.0,104.0,104.0,
Andover,1030354,086891083186,The Federalist Cab 750ml,642476,12,1.0,128.0,128.0,
Cottage Grove,1030584,088004023850,99 Root Beer 50ml,442556,120,1.0,72.1,72.1,
Plymouth,1030621,088004023850,99 Root Beer 50ml,442556,120,1.0,72.1,72.1,
Roseville,1030659,088004023850,99 Root Beer 50ml,442556,120,1.0,72.1,72.1,
Stillwater,1030688,088004023850,99 Root Beer 50ml,442556,120,1.0,72.1,72.1,
Vadnais Heights,1030697,088004023850,99 Root Beer 50ml,442556,120,1.0,72.1,72.1,
Woodbury,1030704,088004023850,99 Root Beer 50ml,442556,120,1.0,72.1,72.1,
Blaine,1030557,088004024086,99 Peppermint 50ml,347256,120,1.0,72.1,72.1,
Minneapolis,1030596,088004024086,99 Peppermint 50ml,347256,120,1.0,72.1,72.1,
Osseo,1030613,088004024086,99 Peppermint 50ml,347256,120,1.0,72.1,72.1,
Rosemount,1030647,088004024086,99 Peppermint 50ml,347256,120,1.0,72.1,72.1,
Stillwater,1030688,088004024086,99 Peppermint 50ml,347256,120,1.0,72.1,72.1,
Minneapolis,1030596,088004039653,99 Strawberries Schnapps 50ml,969875,120,2.0,72.1,144.19,
St. Louis Park,1030676,088004039653,99 Strawberries Schnapps 50ml,969875,120,1.0,72.1,72.1,
Woodbury,1030704,088004039653,99 Strawberries Schnapps 50ml,969875,120,1.0,72.1,72.1,
Andover,1030544,088004039660,99 Blue Raspberries 50ml,969867,120,1.0,72.1,72.1,
Bloomington,1030569,088004039660,99 Blue Raspberries 50ml,969867,120,1.0,72.1,72.1,
Roseville,1030659,088004039660,99 Blue Raspberries 50ml,969867,120,1.0,72.1,72.1,
Andover,1030544,088004039677,99 Lemon Lime Schnapps 50ml,969878,120,1.0,72.1,72.1,
Chanhassen,1030577,088004039677,99 Lemon Lime Schnapps 50ml,969878,120,1.0,72.1,72.1,
Cottage Grove,1030584,088004039677,99 Lemon Lime Schnapps 50ml,969878,120,1.0,72.1,72.1,
Minneapolis,1030596,088004039677,99 Lemon Lime Schnapps 50ml,969878,120,1.0,72.1,72.1,
Osseo,1030613,088004039677,99 Lemon Lime Schnapps 50ml,969878,120,1.0,72.1,72.1,
Woodbury,1030704,088004039677,99 Lemon Lime Schnapps 50ml,969878,120,1.0,72.1,72.1,
Blaine,1030557,088100134511,Black Velvet Canadian 1.75L,994406,6,1.0,78.39,78.39,
Osseo,1030613,088100134511,Black Velvet Canadian 1.75L,994406,6,1.0,78.39,78.39,
Roseville,1030659,088100134511,Black Velvet Canadian 1.75L,994406,6,1.0,78.39,78.39,
Blaine,1030557,088100135037,Black Velvet Toasted Caramel 1.75L,984507,6,1.0,78.39,78.39,
St. Louis Park,1030497,088586001864,CSM Indian Wells Cabernet 750ml,000681107,12,1.0,144.0,144.0,
Chanhassen,1030389,088586010149,Liquid Light Sauvignon Blanc 750ml,632651,12,1.0,104.0,104.0,
Rosemount,1030459,088586010149,Liquid Light Sauvignon Blanc 750ml,632651,12,1.0,104.0,104.0,
Woodbury,1030529,088586621840,Chateau Ste Michelle Riesling 750ml,55929,12,1.0,88.0,88.0,
St. Louis Park,1030676,088734100708,Campari Aperitivo 375ml,948645,12,1.0,144.64,144.64,
Cottage Grove,1030584,089000003211,Mr Boston Five Star Brandy 1.75L,151747,6,1.0,71.51,71.51,
Plymouth,1030621,089000003211,Mr Boston Five Star Brandy 1.75L,151747,6,1.0,71.51,71.51,
Chanhassen,1030577,089000118397,99 Apples 50ml,93645,120,1.0,72.1,72.1,
Minneapolis,1030596,089000118397,99 Apples 50ml,93645,120,1.0,72.1,72.1,
