Product Description,Product UPC,Department,Category (for markup),Size,Units/Case,Supplier,Distributor,Deal Description,Buy Months (if appl.),Net Unit Cost,Net Case Cost,Case 1 (Retail),Retail,Club,GM%,Buy Month Invoice,Non-Buy Month Invoice,Item Number,Avg Retail,Avg Club,Avg Sale,Competitor Pricing,Markup %,Invoice Price,Neilson,Total Wine,Cub,Color
Party Bomber Cups,081391962535,Misc,,25pk,20,Dacotah Paper,Bellboy Corporation,Case 1 pricing,ALL,0.275,5.5,5.1,-0.01,,28.500000000000004,4.5,4.5,PLADBSC,,,,,0.3,4.5,,,,
Party Expressions Jello Shot Cups ,077218001167,Misc,,Unit,24,Table Mate Products,Bellboy Corporation,Case 1 pricing,ALL,0.12916666666666668,3.1,2.75,-0.01,,13.916666666666668,2.1,2.1,PLA2PC25,,,,,0.3,2.1,,,,
Party Parasols,073705079152,Misc,,Unit,48,Franmara,Bellboy Corporation,Case 1 pricing,ALL,0.03958333333333333,1.9,1,-0.01,,4.958333333333333,0.9,0.9,PHO29151,,,,,0.3,0.9,,,,
Pasote Anejo,856442005192,Liquor,,750ml,6,3 Badge,Bellboy Corporation, ,ALL,50.166666666666664,301,300,64.99,,0.2280863722623993,300,300,8419034,,,,,0.3,300,,,,
Pasote Blanco,856442005178,Liquor,,750ml,6,3 Badge,Bellboy Corporation, ,ALL,35.166666666666664,211,210,45.99,,0.23534101616293407,210,210,8419014,,,,,0.3,210,,,,
Pasote Reposado,856442005185,Liquor,,750ml,6,3 Badge,Bellboy Corporation, ,ALL,41.166666666666664,247,246,52.99,,0.22312385984777008,246,246,8419024,,,,,0.3,246,,,,
Passoa,195414154316,Liquor,,750ml,12,MHW LTD- LUCAS BOLS USA,Breakthru Beverage,case 1,ALL,18.095833333333335,217.15,216,22.99,,0.21288241264317806,216, ,9045799,,,,,0.3,216,,,,
Passport Scotch,080432401781,Liquor,,1.75L,6,Sazerac,Bellboy Corporation,,ALL,21.75,130.5,129.5,27.99,,0.22293676312968913,129.5,129.5,7980419,,,,,0.3,129.5,,,,
PASSPORT SCOTCH 80,80432111697,Liquor,,1.75L,6,Sazerac,Southern Wine & Spirits, ,ALL,21.87666666666667,131.26000000000002,130.46,27.99,,0.21841133738239835,130.46,130.46,450075,,,,,0.3,130.46,,,,
Patron Anejo Sherry Cask,721733004478,Liquor,Agave,750ml,6,BACARDI USA INC,Southern Wine & Spirits, ,ALL,60.126666666666665,360.76,359.96,77.99,74.96,0.19788331554606897,359.96,359.96,991825,89.99,74.96,0,,0.3,359.96,,,,
PATRON CITRONGE ORANGE LIQ 70,721733000043,Liquor,Cordials,750ml,12,BACARDI USA INC,Southern Wine & Spirits, ,FEBRUARY|MAY|JULY|SEPTEMBER|NOVEMBER,14.435,173.22,215.91,22.99,19.96,0.27680360721442887,172.42,190.99,532606,23.99,19.96,0,,0.3,172.42,,,,
