Item,Category,Supplier,Chain OH,Wk Velocity,WOS,Cost,Retail,Margin %,30D Units,90D Units,By Store OH
Marlboro Menthol Silver,Cigarettes,,110,0.6,186.1,13.06,15.99,18,2,10,Ramsey:14;Cottage Grove:25;Blaine:27;Andover:44
Alani Nu Juicy Peach 12oz can,Mixes,Pepsi-Cola,17,0.5,36.4,1.79,3.49,49,2,6,Minneapolis:17
Smuggle 6 Oz Collapsible Flasks True (Set of 2),Accessories,"True Brands, Inc.",17,0.5,34.2,3.59,7.99,55,2,7,Minneapolis:17
Sideshow Fire Breather Bloody Mary Mix 32oz,Mixes,"Maverick Beverage Co., LLC - MN",7,0.5,13.6,6.65,11.49,42,3,3,Roseville:2;Chanhassen:5
Celsius Sparkling Apple Pear 12oz can,Mixes,Pepsi-Cola,22,0.5,44.2,1.68,2.99,44,2,7,Plymouth:1;Roseville:21
Sprite Tropical Mix 12pk 12oz can,Mixes,Great Lakes Coca-Cola Distribution,4,0.5,7.6,9.65,12.49,23,2,8,Minneapolis:4
Starbucks Doubleshot Mocha 15oz can,Mixes,Pepsi-Cola,2,0.5,3.9,2.62,2.69,3,3,3,Cottage Grove:2
Loon Arctic Grape 7mg,Smokeless,"M Amundson, LLP",0,0.5,0.0,6.0,8.99,33,0,15,
Loon Orange 7mg,Smokeless,"M Amundson, LLP",1,0.5,2.1,6.0,8.99,33,0,15,Minneapolis:1
Phorm Silver Lightening 16oz can,Mixes,"College City Beverage, Inc.",9,0.5,17.0,1.88,2.99,37,2,8,Cottage Grove:9
Polar Diet Tonic 6pk 355ml,Mixes,,2,0.5,4.0,3.56,6.99,49,2,7,Rosemount:2
Beer Cups 16 oz,Accessories,Trio Supply Company,19,0.5,35.9,3.42,4.99,31,2,8,Woodbury:19
Lift Bridge Root Beer 4pk 16oz,Mixes,,200,0.5,401.8,1.94,6.99,72,2,7,Cottage Grove:14;Rosemount:20;Woodbury:33;Blaine:133
Zyn 6mg Smooth,Smokeless,"M Amundson, LLP",30,0.5,64.3,8.41,9.99,16,2,6,Woodbury:3;Minneapolis:27
Remedy Bloody Mary Mix Liter,Mixes,Dahlheimer Beverage Monticello,1,0.5,1.9,5.5,6.99,21,0,17,Andover:1
Rockstar Pure Zero Punch 16oz can,Mixes,Pepsi-Cola,13,0.5,25.3,1.62,2.49,35,1,12,Woodbury:13
Gatorade Lemon Lime 28oz,Mixes,Pepsi-Cola,56,0.5,102.9,2.06,2.49,17,3,4,Andover:7;Chanhassen:18;Stillwater:31
Retro: 24 oz Cocktail Shaker,Accessories,"True Brands, Inc.",1,0.5,2.1,11.75,20.99,44,2,6,Ramsey:1
Swisher Sweet Grape,Cigars,"M Amundson, LLP",3,0.5,6.0,3.36,2.99,-12,2,7,Andover:3
Filled with Thanks Wine Bag,Accessories,"True Brands, Inc.",71,0.5,134.2,1.39,3.49,60,2,8,Minnetonka:2;Rosemount:3;Blaine:4;Plymouth:6;Vadnais Heights:6;Chanhassen:8;Cottage Grove:9;Woodbury:9;Roseville:10;Stillwater:14
Syx Freeze 20mg,Smokeless,"M Amundson, LLP",13,0.5,26.1,7.09,10.99,35,2,7,Minneapolis:13
