upc,Item,Department
88586003455,Columbia Crest H3 Chardonnay,Wine
88586703935,Columbia Crest TV Chardonnay,Wine
88586001215,CSM Meritage Artist Series,Wine
88586010644,CSM Red Blend Limited Release 17,Wine
742651634103,Ferrari Carano West Face Prevail,Wine
94799011064,Graham's Vintage Porto 2011,Wine
94799011200,Graham's Vintage Porto 2016,Wine
80432404355,Jacob's Creek Cab/Merlot,Wine
80432340028,Jacobs Creek Chardonnay,Wine
8437013426473,Macan Rioja,Wine
86003251205,Meiomi Sparkling,Wine
86003001602,Robert Mondavi Coastal Cab,Wine
83085220266,Robert Mondavi Maestro,Wine
86003061941,Robert Mondavi Oakville Fume,Wine
86003291935,Robert Mondavi PS Zinfandel,Wine
83085430016,Rosatello Rose,Wine
83085430023,Rosatello Rosso,Wine
88232005444,Sebastiani Sauvignon Blanc,Wine
88232002634,Sebastiani Sonoma Merlot,Wine
86785121413,Secco Bertani Verona Rosso,Wine
55125553115,Silver Oak Alex Cab Sauv 14,Wine
400000004907,Silver Oak Alex Cab Sauv 15,Wine
400000011097,Silver Oak Alex Cab Sauv 16,Wine
400000019598,"Silver Oak Napa Cab Sauv 
2015",Wine
554342010,Silver Oak Napa Cab Sauv 2010,Wine
400000020938,Silver Oak Napa Cab Sauv 2016,Wine
89819117246,Stone Cellars Cab Sauv,Wine
89819117420,Stone Cellars Chardonnay,Wine
89819727667,Stone Cellars Pinot Grigio,Wine
98709270107,Tasca D'Almerita Regaleali,Wine
511201655126,Twomey Merlot,Wine
816253010068,Villa di Capezzano Carmignano,Wine
858902004639,WestMount Pinot Grigio,Wine
86003820340,Woodbridge Cab Sauv Stacked,Wine
86003820326,Woodbridge Chardonnay Stacked,Wine
554161028201,Devaux Beaune La Daligniere,Wine
180225000099,Evesham Wood Pinot Noir,Wine
98709084612,Castello di Bossi CC Gran Selezione 2013,Wine
856803002044,Jules Taylor Sauvignon Blanc,Wine
833302002409,Leese-Fitch Cabernet Sauvignon,Wine
833302002416,Leese-Fitch Chardonnay,Wine
833302002423,Leese-Fitch Merlot,Wine
833302002430,Leese-Fitch Pinot Noir,Wine
833302004069,Leese-Fitch Red Blend,Wine
833302002454,Leese-Fitch Sauvignon Blanc,Wine
833302002447,Leese-Fitch Zinfandel,Wine
1271755416,Merry Edwards RR Sauvignon Bla,Wine
833302002041,Plungerhead Cabernet Sauvignon,Wine
833302002010,Plungerhead Old Vine Zinfandel,Wine
853891002154,Tarima Hill Monastrell,Wine
8569107,Gallo Dry Vermouth,Wine
8569000,Gallo Sweet Vermouth,Wine
83120957058,Tribuno Dry Vermouth,Wine
83120957065,Tribuno Dry Vermouth,Wine
83120957072,Tribuno Dry Vermouth,Wine
83120957041,Tribuno Extra Dry Vermouth,Wine
83120957249,Tribuno Sweet Vermouth,Wine
83120957256,Tribuno Sweet Vermouth,Wine
83120957263,Tribuno Sweet Vermouth,Wine
83120957270,Tribuno Sweet Vermouth,Wine
860000502870,Mommenpop Blood Orange Vermouth,Wine
664841021121,Atxa Vermouth Blanco,Wine
664841021114,Atxa Vermouth Rojo,Wine
848375008555,AG PERINO VERMOUTH DRY CLASSICO,Wine
848375008562,AG PERINO VERMOUTH SWEET CLASSICO,Wine
86785900025,CINZANO VERMOUTH EXTRA DRY,Wine
721059107501,CINZANO VERMOUTH ROSSO(SWEET),Wine
11034430053,MARTINI&ROSSI VERMOUTH BIANCO,Wine
11034420054,MARTINI&ROSSI VERMOUTH EXTRA DRY,Wine
11034420078,MARTINI&ROSSI VERMOUTH EXTRA DRY,Wine
11034420030,MARTINI&ROSSI VERMOUTH EXTRA DRY,Wine
