Product Description,Product UPC,Department,Size,Units/Case,Supplier,Distributor,Deal Description,Buy Months (if appl.),Net/Unit,Net Case,Case 1 (Retail),Retail Calc,Club Override,GM%,Buy Month Invoice,Effective Date,Notes,Non-Buy Month Invoice,Reorder Point,Item Number,Net Case EO,Net Cs EO/Unit,Retail Override,Avg Retail,Avg Club,Markup,Buy Months,Case 1 on Spirits Tab,Buy Month Invoice on Spirits Tab,Net Case on Spirits Tab,Diff b/w Case 1,Diff b/w Net Case,Diff Item Number,Units On Hand Across Chain,Netsuite Name,Color
Fireball,088004144708,Liquor,50ml,120,Sazerac,Bellboy Corporation,1 cs  50ml  free on every 10 cs m/m 50's purchased - accum monthly,ALL,0.6064393939393941,72.77272727272728,78.95,0.99,0.96,0.36829229797979784,78.95,2026-03-01 00:00:00,,78.95,,8366108,72.77272727272728,0.6064393939393941,0.99,1.49,1.24,0.5,,,,,,,,49560,Bellboy Corporation,
Fireball Apple,088004069155,Liquor,50ml,120,Sazerac,Bellboy Corporation,1 cs  50ml  free on every 10 cs m/m  50's purchased - accum monthly,ALL,0.6064393939393941,72.77272727272728,78.95,0.99,0.96,0.36829229797979784,78.95,2026-03-01 00:00:00,,78.95,,8366118,72.77272727272728,0.6064393939393941,0.99,1.49,1.24,0.5,,,,,,,,2287,Bellboy Corporation,
Planteray Rum 20th Anniversary XO,695521153115,Liquor,375ml,12,Cognac Ferrand,Bellboy Corporation,case 1,ALL,18.416666666666668,221,240,29.99,26.96,0.31688921859545005,220,2026-03-01 00:00:00,,220,,7872192,221,18.416666666666668,31.99,31.99,26.96,0.5,,,,,,,,0,Bellboy Corporation,
Natterjack Cask Strength,05391533750100,Liquor,700ml,6,,Bellboy Corporation,,ALL,58.778333333333336,352.67,422,90.99,72.96,0.19437591374268995,351.67,2026-03-01 00:00:00,,351.67,,8396224,352.67,58.778333333333336,87.99,101.99,84.96,0.3,,,,,,,,0,Bellboy Corporation,
Natterjack The Mistake,05391533750300,Liquor,700ml,6,,Bellboy Corporation,,ALL,27.388333333333335,164.33,196,41.99,36.96,0.25897366522366516,163.33,2026-03-01 00:00:00,,163.33,,8396214,164.33,27.388333333333335,43.99,,,0.3,,,,,,,,,Bellboy Corporation,
Natterjack The Blend,05391533750032,Liquor,750ml,6,,Bellboy Corporation,,ALL,21.278333333333332,127.67,152,32.99,28.96,0.26525092081031315,126.67,2026-03-01 00:00:00,,126.67,,8396204,127.67,21.278333333333332,34.99,,,0.3,,,,,,,,,Bellboy Corporation,
Cocchi Americano,8007117010061,Liquor,750ml,12,Libation Project,Libation Project,Case 1,ALL,17.75,213,216,22.99,24.96,0.2888621794871795,210,2026-03-17 00:00:00,,,,50132,213,17.75,29.99,29.99,24.96,0.3,,,,,,,,19,Libation Project,
Cocchi Americano Bianco,8007117010221,Liquor,375ml,12,Libation Project,Libation Project,Case 1,ALL,12.083333333333334,145,152,18.99,16.96,0.2875393081761006,142,2026-03-17 00:00:00,,,,50131,145,12.083333333333334,19.99,21.99,17.96,0.5,,,,,,,,10,Libation Project,
Cocchi di Torino,8007117011327,Liquor,375ml,12,Haus Alpenz,Libation Project,Case 1,ALL,12.25,147,152,18.99,16.96,0.2777122641509434,144,2026-03-17 00:00:00,,,,50128,147,12.25,19.99,21.99,17.96,0.5,,,,,,,,42,Libation Project,
Cocchi di Torino,8007117010108,Liquor,750ml,12,Libation Project,Libation Project,Case 1,ALL,17.75,213,216,22.99,24.96,0.2888621794871795,210,2026-03-17 00:00:00,,,,50129,213,17.75,29.99,29.99,24.96,0.3,,,,,,,,49,Libation Project,
David Nicholson 1843,088352113920,Liquor,750ml,6,Libation Project,Libation Project,Case 1,ALL,26.5,159,166,35.99,36.96,0.28300865800865804,156,2026-03-17 00:00:00,,,,99099,159,26.5,43.99,43.99,36.96,0.3,,,,,,,,5,Libation Project,
Dolin Blanc Vermouth,3274510003821,Liquor,750ml,12,Haus Alpenz,Libation Project,Case 1,ALL,12.916666666666666,155,160,16.99,17.96,0.2808092056421678,152,2026-03-17 00:00:00,,,,50123,155,12.916666666666666,21.99,21.99,17.96,0.3,,,,,,,,14,Libation Project,
Dolin Dry Vermouth,3274510003791,Liquor,750ml,12,Haus Alpenz,Libation Project,Case 1,ALL,12.916666666666666,155,160,16.99,17.96,0.2808092056421678,152,2026-03-17 00:00:00,,,,50120,155,12.916666666666666,21.99,21.99,17.96,0.3,,,,,,,,72,Libation Project,
Dolin Dry Vermouth,3274510003807,Liquor,375ml,12,Libation Project,Libation Project,Case 1,ALL,9.583333333333334,115,116,14.99,12.96,0.26054526748971196,112,2026-03-17 00:00:00,,,,50122,115,9.583333333333334,15.99,16.99,13.96,0.5,,,,,,,,81,Libation Project,
Dolin Genepy Le Chamois,3274510003616,Liquor,750ml,12,Libation Project,Libation Project,Case 1,ALL,25.75,309,312,33.99,35.96,0.28392658509454954,306,2026-03-17 00:00:00,,,,50087,309,25.75,42.99,42.99,35.96,0.3,,,,,,,,12,Libation Project,
Dolin Rouge Vermouth,3274510003814,Liquor,750ml,12,Haus Alpenz,Libation Project,Case 1,ALL,12.916666666666666,155,160,16.99,17.96,0.2808092056421678,152,2026-03-17 00:00:00,,,,50125,155,12.916666666666666,21.99,21.99,17.96,0.3,,,,,,,,79,Libation Project,
Dolin Rouge Vermouth,3274510003906,Liquor,375ml,12,Libation Project,Libation Project,Case 1,ALL,9.583333333333334,115,116,14.99,12.96,0.26054526748971196,112,2026-03-17 00:00:00,,,,50124,115,9.583333333333334,15.99,16.99,13.96,0.5,,,,,,,,41,Libation Project,
